ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
1,Abilene Christian,33,14,19,.424,-7.18,-1.25,5,13,9,5,3,12,2321,2389,1325,793,1621,.489,196,498,.394,607,842,.721,266,1029,393,278,147,541,605
2,Air Force,32,3,29,.094,-13.66,4.68,0,20,3,15,0,12,1969,2556,1280,900,1834,.491,268,712,.376,488,671,.727,321,1146,488,255,113,325,569
3,Akron,34,29,5,.853,9.04,-3.33,17,1,15,0,9,3,3004,2499,1360,874,2074,.421,319,914,.349,432,597,.724,376,1125,450,212,95,460,531
4,Alabama,32,23,9,.719,22.70,14.45,13,5,12,3,7,3,2935,2671,1290,955,2205,.433,259,773,.335,502,720,.697,443,1280,446,205,118,304,635
5,Alabama A&M,33,18,15,.545,-12.99,-10.49,10,8,12,5,4,8,2378,2393,1325,822,1860,.442,231,682,.339,518,714,.725,329,1129,463,202,99,372,634
6,Alabama State,32,10,22,.313,-14.21,-8.14,7,11,5,4,4,15,2341,2473,1280,826,1837,.450,253,746,.339,568,774,.734,336,1159,453,243,127,441,560
7,Albany (NY),32,11,21,.344,-13.92,-8.09,7,9,6,5,4,13,2303,2332,1280,814,1820,.447,252,719,.350,452,623,.726,331,1035,446,218,101,345,426
8,Alcorn State,32,9,23,.281,-19.82,-6.54,7,11,5,4,2,18,2141,2566,1282,911,1850,.492,214,649,.330,530,729,.727,366,1182,507,234,134,403,493
9,American,32,16,16,.500,-6.91,-6.21,9,9,11,6,5,10,2387,2283,1280,786,1689,.465,213,627,.340,498,688,.724,287,1070,418,198,94,422,541
10,Appalachian State,32,19,13,.594,-3.77,-5.67,11,7,11,4,7,8,2305,2114,1285,739,1851,.399,240,763,.315,396,563,.703,341,1089,374,162,80,301,608
11,Arizona,34,32,2,.941,29.92,12.57,16,2,16,1,9,1,2929,2339,1365,834,2129,.392,249,792,.314,422,590,.715,372,1078,408,205,126,407,669
12,Arizona State,33,17,16,.515,10.79,12.79,7,11,10,5,2,9,2519,2585,1320,899,1984,.453,280,800,.350,505,681,.742,407,1199,498,244,113,430,654
13,Arkansas,34,26,8,.765,22.43,12.57,13,5,17,1,5,5,3058,2723,1380,985,2174,.453,263,830,.317,490,681,.720,387,1176,491,171,97,392,612
14,Arkansas State,32,20,12,.625,-0.65,-4.39,11,7,11,4,9,7,2655,2471,1295,861,1960,.439,249,766,.325,500,713,.701,326,1067,440,284,106,368,618
15,Arkansas-Pine Bluff,32,13,19,.406,-14.79,-6.92,10,8,7,4,6,14,2472,2593,1285,876,1908,.459,238,711,.335,603,809,.745,363,1158,473,244,100,395,529
16,Army,32,11,21,.344,-15.28,-7.14,5,13,6,10,5,10,2309,2471,1305,844,1807,.467,261,749,.348,522,702,.744,285,1119,448,230,101,353,509
17,Auburn,33,17,16,.515,17.02,13.69,7,11,11,4,2,8,2730,2620,1330,908,1961,.463,285,781,.365,519,695,.747,360,1093,466,218,152,375,659
18,Austin Peay,31,22,9,.710,-2.25,-6.70,15,3,12,1,9,7,2530,2269,1240,808,1805,.448,240,739,.325,413,585,.706,312,1067,429,204,98,425,560
19,Ball State,31,12,19,.387,-9.58,-4.27,7,11,7,7,4,11,2093,2154,1250,753,1691,.445,232,694,.334,416,546,.762,293,1107,404,166,113,395,485
20,Baylor,32,16,16,.500,15.33,11.78,6,12,11,6,3,7,2642,2469,1280,896,1954,.459,239,678,.353,438,582,.753,354,1027,436,223,102,362,576
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
