ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf
56,College of Charleston,32,21,11,.656,-1.17,-2.59,14,4,11,4,8,4,2413,2348,1290,825,1853,.445,208,701,.297,555,758,.732,340,1191,431,180,144,341,535
57,Colorado,32,17,15,.531,10.89,10.36,7,11,13,5,2,8,2559,2542,1290,901,1918,.470,238,674,.353,519,686,.757,319,1097,502,203,108,327,560
58,Colorado State,33,21,12,.636,8.56,5.03,11,9,12,5,6,5,2510,2347,1320,833,1704,.489,326,834,.391,518,672,.771,285,1062,525,176,69,391,554
59,Columbia,28,16,12,.571,-2.56,-3.95,5,9,9,5,7,7,2146,2007,1130,799,1681,.475,222,625,.355,326,474,.688,359,1099,443,164,84,365,460
60,Connecticut&nbsp;NCAA,34,29,5,.853,22.92,10.53,17,3,15,2,9,2,2635,2214,1370,962,1994,.482,283,804,.352,428,598,.716,395,1243,625,234,179,380,612
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
61,Coppin State,31,7,24,.226,-24.84,-8.11,5,9,3,6,4,15,2032,2493,1245,704,1722,.409,185,606,.305,439,651,.674,348,1009,362,198,107,477,572
62,Cornell,28,15,13,.536,-1.67,-2.83,8,6,7,4,8,8,2477,2335,1130,869,1754,.495,362,922,.393,377,508,.742,295,985,597,168,79,327,536
63,Creighton,32,15,17,.469,10.57,10.47,9,11,10,6,4,8,2404,2401,1285,847,1891,.448,315,912,.345,395,520,.760,303,1126,495,186,85,363,459
64,Dartmouth,27,11,16,.407,-8.24,-2.92,5,9,5,8,6,8,2047,2071,1085,676,1534,.441,272,753,.361,423,568,.745,238,953,375,135,99,329,433
65,Davidson,33,20,13,.606,4.27,2.76,10,8,11,7,7,4,2367,2225,1335,841,1845,.456,293,815,.360,392,600,.653,323,1098,453,218,143,342,556
66,Dayton,34,23,11,.676,8.85,4.37,12,6,14,3,6,5,2528,2376,1375,813,1822,.446,258,756,.341,644,858,.751,300,1118,487,284,137,407,567
67,Delaware,31,10,21,.323,-8.65,-2.45,6,14,5,10,4,10,2098,2293,1265,720,1617,.445,268,744,.360,390,495,.788,197,947,376,175,95,373,450
68,Delaware State,31,8,23,.258,-22.55,-10.81,2,12,5,7,2,14,1896,2185,1250,685,1721,.398,145,490,.296,381,553,.689,307,967,328,237,58,408,527
69,Denver,32,15,17,.469,-5.76,-2.04,8,8,9,5,6,11,2650,2650,1280,927,1931,.480,283,745,.380,513,664,.773,333,1087,371,147,64,315,571
70,DePaul,32,16,16,.500,7.45,6.76,8,12,11,7,4,7,2248,2226,1280,788,1812,.435,230,707,.325,442,639,.692,329,1064,480,221,110,385,573
71,Detroit Mercy,32,17,15,.531,-5.62,-3.19,12,8,9,5,7,9,2471,2475,1280,870,1957,.445,210,603,.348,521,672,.775,392,1203,418,191,102,362,621
72,Drake,34,14,20,.412,-0.93,1.44,6,14,6,11,4,7,2552,2544,1370,881,1991,.442,311,910,.342,479,666,.719,326,1202,458,186,105,348,571
73,Drexel,33,17,16,.515,-4.73,-4.48,10,8,12,4,4,9,2247,2221,1320,805,1839,.438,258,737,.350,379,573,.661,358,1162,438,201,122,414,551
74,Duke&nbsp;NCAA,34,32,2,.941,31.55,12.41,17,1,15,0,10,1,2798,2147,1360,973,1986,.490,309,881,.351,543,750,.724,424,1370,576,265,111,358,534
75,Duquesne,33,18,15,.545,3.38,2.34,9,9,12,6,5,7,2584,2481,1340,888,1936,.459,285,847,.336,523,732,.714,353,1158,499,257,101,414,639
