ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
150,Longwood,32,16,16,.500,-8.22,-7.88,8,8,11,4,4,10,2486,2370,1315,813,1802,.451,252,775,.325,492,710,.693,303,1017,405,251,111,472,608
151,Louisiana,33,11,22,.333,-12.03,-5.03,7,11,7,8,3,13,2101,2332,1320,777,1683,.462,217,610,.356,561,771,.728,323,1142,386,165,87,387,499
152,Louisiana State,32,15,17,.469,12.69,9.75,3,15,9,8,3,7,2606,2512,1315,866,1960,.442,263,743,.354,517,741,.698,381,1107,401,215,104,314,607
153,Louisiana Tech,34,20,14,.588,-2.92,-2.98,11,9,14,3,4,10,2375,2210,1375,735,1871,.393,286,876,.326,454,652,.696,368,1124,409,226,127,415,546
154,Louisiana-Monroe,32,4,28,.125,-18.52,-4.86,1,17,3,11,1,15,2318,2685,1290,996,2057,.484,302,846,.357,391,555,.705,394,1276,563,239,128,363,602
155,Louisville&nbsp;NCAA,33,23,10,.697,23.41,10.83,11,7,15,2,4,7,2797,2382,1320,832,1964,.424,251,768,.327,467,656,.712,329,1093,402,216,118,391,585
156,Loyola (IL),33,9,24,.273,-6.13,2.84,4,14,6,10,1,9,2204,2500,1325,845,1926,.439,314,853,.368,496,648,.765,332,1108,518,237,130,282,554
157,Loyola (MD),32,12,20,.375,-13.33,-8.49,8,10,8,6,3,13,2407,2466,1300,891,1891,.471,238,736,.323,446,614,.726,305,1129,494,196,83,342,517
158,Loyola Marymount,32,15,17,.469,1.08,1.50,6,12,10,8,4,7,2376,2306,1295,804,1906,.422,238,703,.339,460,614,.749,360,1142,410,196,79,375,555
159,Maine,32,8,24,.250,-16.91,-9.59,6,10,4,8,4,14,2001,2190,1280,795,1766,.450,193,651,.296,407,592,.688,358,1178,417,200,87,415,548
160,Manhattan,32,12,20,.375,-15.10,-7.90,8,12,7,7,3,12,2369,2526,1295,936,2010,.466,280,768,.365,374,513,.729,411,1224,572,181,124,370,544
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
161,Marist,31,19,12,.613,-3.63,-8.60,12,8,11,4,7,7,2160,1979,1245,684,1698,.403,177,626,.283,434,624,.696,312,1058,315,202,97,398,450
162,Marquette,32,12,20,.375,9.22,9.84,7,13,10,7,2,10,2405,2425,1295,852,1932,.441,250,764,.327,471,619,.761,393,1233,513,221,113,438,544
163,Marshall,32,19,13,.594,-2.83,-4.41,11,7,13,4,6,8,2596,2497,1280,835,1930,.433,258,771,.335,569,785,.725,407,1163,384,227,86,374,541
164,Maryland,33,12,21,.364,4.80,11.68,4,16,7,8,2,10,2300,2527,1325,873,1874,.466,293,807,.363,488,670,.728,314,1101,534,210,116,330,574
165,Maryland-Baltimore County&nbsp;NCAA,32,24,8,.750,-4.40,-11.86,14,2,15,2,9,6,2439,2144,1290,806,1903,.424,217,701,.310,315,467,.675,294,1058,333,173,74,329,491
166,Maryland-Eastern Shore,32,9,23,.281,-17.48,-8.35,5,9,6,4,2,18,2060,2265,1305,754,1726,.437,226,684,.330,531,718,.740,345,1029,416,288,95,384,531
167,Massachusetts,33,17,16,.515,-2.14,-3.23,7,11,11,5,2,8,2648,2562,1350,851,1881,.452,261,806,.324,599,823,.728,283,1057,498,246,99,406,625
168,Massachusetts-Lowell,33,15,18,.455,-14.12,-8.42,9,7,10,4,5,14,2471,2518,1320,940,2030,.463,248,735,.337,390,544,.717,327,1088,446,262,133,329,556
169,McNeese&nbsp;NCAA,33,28,5,.848,7.74,-2.06,19,3,14,0,9,5,2641,2193,1335,708,1741,.407,269,831,.324,508,701,.725,385,1114,399,149,81,559,585
170,Memphis,32,13,19,.406,3.95,5.42,8,10,10,6,3,10,2407,2454,1290,804,1908,.421,252,825,.305,592,809,.732,421,1190,440,260,135,427,582
171,Mercer,32,19,13,.594,-2.87,-5.21,11,7,14,1,5,11,2646,2416,1280,857,1987,.431,281,827,.340,421,562,.749,391,1164,397,197,100,406,604
172,Mercyhurst,34,17,17,.500,-9.86,-9.46,10,8,12,3,5,14,2358,2291,1381,790,1794,.440,197,611,.322,514,745,.690,328,1173,408,173,84,431,517
173,Merrimack,34,23,11,.676,-4.27,-6.33,17,3,11,0,9,8,2330,2260,1375,782,1873,.418,185,611,.303,511,695,.735,464,1299,445,158,127,446,565
174,Miami (FL)&nbsp;NCAA,33,25,8,.758,18.04,7.28,13,5,15,3,8,2,2704,2349,1320,844,1897,.445,275,776,.354,384,551,.697,295,984,458,221,138,420,595
175,Miami (OH)&nbsp;NCAA,32,31,1,.969,5.37,-5.49,18,0,16,0,14,0,2902,2409,1300,869,1994,.436,243,748,.325,428,580,.738,334,1073,407,199,77,412,623
176,Michigan&nbsp;NCAA,34,31,3,.912,32.48,14.86,19,1,14,1,11,0,2952,2353,1366,828,2155,.384,272,901,.302,425,566,.751,377,1060,387,218,112,377,662
177,Michigan State&nbsp;NCAA,32,25,7,.781,23.44,12.91,15,5,15,2,6,4,2526,2189,1290,746,1818,.410,275,836,.329,422,562,.751,254,905,421,209,97,318,599
178,Middle Tennessee,32,17,15,.531,0.23,1.36,11,9,11,4,5,8,2414,2329,1310,820,1859,.441,214,651,.329,475,643,.739,315,1092,385,205,82,354,503
