Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
86,FDU,32,11,21,.344,-14.99,-7.43,8,10,8,6,3,15,2150,2245,64.5,108.4,.361,.405,.565,47.5,50.3,9.7,9.4,.535,15.0,26.0,.255
87,Florida,33,26,7,.788,27.90,13.11,16,2,14,1,8,2,2864,2376,72.5,99.4,.340,.337,.505,40.5,44.5,9.2,7.2,.463,13.5,24.8,.247
88,Florida A&M,31,15,16,.484,-14.02,-8.95,11,7,8,4,5,11,2183,2312,70.3,105.6,.402,.347,.554,50.1,49.6,12.4,9.3,.509,16.9,30.6,.303
89,Florida Atlantic,33,18,15,.545,3.77,1.93,9,9,11,4,4,8,2596,2453,70.4,104.4,.360,.361,.530,47.2,46.2,10.5,7.4,.490,13.9,27.8,.260
90,Florida Gulf Coast,34,16,18,.471,-6.41,-5.03,8,10,11,6,3,11,2631,2598,69.3,109.1,.379,.455,.563,48.0,52.9,9.1,8.4,.527,14.8,27.4,.276
91,Florida International,32,15,17,.469,-1.82,-0.47,8,12,12,6,3,10,2580,2492,72.8,105.8,.350,.445,.546,49.1,62.0,10.9,8.2,.514,17.5,33.7,.248
92,Florida State,33,18,15,.545,11.66,9.24,10,8,11,6,6,5,2652,2572,71.8,108.5,.327,.449,.552,52.0,55.7,9.4,12.8,.522,16.2,34.1,.232
93,Fordham,32,17,15,.531,0.25,-0.96,8,10,11,7,4,6,2235,2095,65.7,99.3,.295,.429,.520,45.5,61.0,9.0,8.2,.492,15.8,25.1,.202
94,Fresno State,32,13,19,.406,3.50,4.66,7,13,10,8,2,10,2331,2330,69.4,104.9,.287,.444,.539,50.5,51.0,10.6,9.5,.509,15.8,30.3,.208
95,Furman,34,22,12,.647,-3.24,-6.14,10,8,11,5,7,5,2600,2397,66.7,104.6,.284,.423,.523,45.8,47.1,11.3,9.9,.494,12.5,26.4,.199
96,Gardner-Webb,33,4,29,.121,-22.36,-1.86,1,15,3,10,0,16,2248,2820,71.0,120.4,.350,.411,.595,56.2,55.5,11.4,9.8,.567,13.5,35.2,.254
97,George Mason,32,23,9,.719,6.45,1.19,11,7,17,2,4,6,2347,2160,64.9,104.0,.282,.423,.523,47.1,52.3,9.9,9.9,.494,13.7,28.2,.198
98,George Washington,33,18,15,.545,9.05,2.24,8,10,12,4,3,7,2708,2433,70.3,104.4,.343,.428,.551,45.8,59.8,11.2,10.2,.515,16.1,27.5,.251
99,Georgetown,34,16,18,.471,9.22,8.51,6,14,10,7,4,8,2503,2479,67.0,107.6,.339,.412,.536,49.2,54.9,9.2,9.1,.499,13.9,31.5,.246
100,Georgia,32,22,10,.688,19.57,8.91,10,8,14,4,6,4,2874,2533,73.4,106.2,.308,.376,.534,49.5,47.3,9.3,9.6,.501,15.6,34.9,.221
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Georgia Southern,37,21,16,.568,-6.48,-6.02,8,10,9,5,7,8,2994,2949,71.3,110.6,.403,.397,.561,53.2,47.1,8.9,8.9,.520,16.1,34.5,.298
102,Georgia State,32,10,22,.313,-11.59,-4.59,7,11,7,7,3,12,2253,2391,69.3,107.5,.353,.388,.536,52.5,52.0,8.6,8.5,.502,14.3,32.5,.246
103,Georgia Tech,31,11,20,.355,3.10,6.74,2,16,10,9,1,9,2287,2400,71.6,107.7,.342,.444,.535,49.7,56.3,11.3,10.8,.499,13.4,30.7,.244
104,Gonzaga,33,30,3,.909,25.11,5.98,16,2,15,0,8,2,2809,2178,70.4,93.4,.310,.437,.499,44.6,52.9,7.5,6.0,.462,17.9,25.9,.221
105,Grambling,33,14,19,.424,-12.21,-9.99,7,11,7,5,4,13,2321,2314,69.9,100.4,.394,.354,.534,50.2,52.0,12.1,12.5,.493,18.4,31.4,.281
