Rank,School,Conf,AP_Rank,W,L,Pts,Opp_Pts,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
115,Murray State,MVC,,20,12,83.3,79.9,3.41,0.49,9.39,-5.49,3.90,115.05,110.46,4.59
116,Bradley,MVC,,21,12,77.6,73.4,4.18,0.54,4.18,-0.36,3.83,111.43,106.90,4.53
117,Illinois-Chicago,MVC,,19,15,75.5,70.0,5.53,0.46,-0.32,4.13,3.81,108.89,104.08,4.81
118,Florida Atlantic,American,,18,15,78.7,74.3,4.33,1.93,3.99,-0.22,3.77,109.42,105.01,4.42
119,UC Irvine,Big West,,23,11,77.4,68.4,8.97,-1.42,-2.31,5.96,3.65,103.21,98.59,4.62
120,Sam Houston,CUSA,,22,11,82.2,74.2,8.09,-0.43,5.00,-1.42,3.57,111.44,106.90,4.55
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
121,UAB,American,,20,12,79.2,73.8,5.44,-0.24,3.07,0.49,3.56,108.42,104.36,4.06
122,Fresno State,MWC,,13,19,72.8,72.8,0.03,4.66,-0.34,3.84,3.50,107.20,102.75,4.45
123,Washington State,WCC,,12,20,76.1,77.5,-1.41,5.10,3.98,-0.50,3.49,113.43,109.25,4.18
124,Boston College,ACC,,11,20,67.4,70.7,-3.26,6.65,-3.75,7.14,3.39,103.18,99.59,3.58
125,Duquesne,A-10,,18,15,78.3,75.2,3.12,2.34,3.91,-0.53,3.38,109.98,106.24,3.73
126,St. Thomas,Summit,,24,9,82.7,71.7,10.97,-5.30,3.64,-0.37,3.27,112.45,108.32,4.14
127,Georgia Tech,ACC,,11,20,73.8,77.4,-3.65,6.74,3.05,0.04,3.10,107.00,103.47,3.53
128,Southern Illinois,MVC,,16,16,73.0,69.6,3.44,0.86,-1.21,4.30,3.09,103.07,99.19,3.87
129,Saint Joseph's,A-10,,22,11,73.3,69.9,3.42,0.98,-0.77,3.42,2.65,106.03,102.86,3.17
130,California Baptist,WAC,,25,8,73.0,67.6,5.45,-2.93,-3.18,5.71,2.52,105.24,102.01,3.23
131,North Dakota State,Summit,,27,7,80.7,69.6,11.15,-5.79,0.75,1.75,2.50,109.88,106.68,3.20
132,UNC Wilmington,CAA,,26,6,77.0,67.7,9.34,-5.04,-2.05,4.54,2.50,109.71,106.14,3.57
133,Liberty,CUSA,,25,7,78.2,70.4,7.75,-1.57,1.26,1.21,2.47,116.02,112.84,3.18
134,Rhode Island,A-10,,16,16,69.9,68.2,1.69,0.74,-3.53,5.96,2.43,104.88,102.39,2.49
135,St. Bonaventure,A-10,,17,17,76.4,74.5,1.88,1.67,3.48,-1.08,2.40,112.33,109.68,2.65
136,UC San Diego,Big West,,23,11,75.7,70.3,5.38,-1.68,-2.20,4.52,2.32,106.40,103.48,2.92
137,Richmond,A-10,,15,17,76.7,73.9,2.78,0.29,2.04,0.22,2.26,110.60,108.84,1.76
138,North Texas,American,,19,14,70.9,67.4,3.52,1.14,-5.47,7.55,2.08,102.73,100.19,2.54
139,UC Santa Barbara,Big West,,18,14,77.6,72.8,4.84,-1.82,0.21,0.94,1.15,112.71,110.91,1.79
140,Montana State,Big Sky,,18,14,77.9,71.4,6.50,-1.05,-0.95,2.04,1.09,109.15,107.90,1.25
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
141,Loyola Marymount,WCC,,15,17,74.3,72.1,2.19,1.50,-1.75,2.83,1.08,105.87,104.70,1.17
142,Temple,American,,16,16,73.9,70.8,3.19,-0.76,-0.99,2.04,1.04,110.17,109.51,0.66
143,Texas-Rio Grande Valley,Southland,,19,14,75.9,69.5,6.42,-2.20,-0.58,1.50,0.93,107.84,106.85,0.99
144,Oregon State,WCC,,17,16,71.1,74.2,-3.03,3.81,-1.13,1.91,0.78,109.24,109.24,0.00
145,Toledo,MAC,,19,15,81.0,76.6,4.47,-1.57,2.89,-2.11,0.78,112.04,111.68,0.36
146,Bowling Green,MAC,,18,14,81.3,71.6,9.75,-3.57,-1.23,1.70,0.47,105.16,104.74,0.42
147,Western Kentucky,CUSA,,18,14,79.3,76.1,3.16,-0.47,2.27,-1.81,0.47,106.58,106.78,-0.20
148,Northern Colorado,Big Sky,,20,12,82.5,76.5,5.97,-2.46,3.93,-3.63,0.30,110.22,110.36,-0.14
149,Fordham,A-10,,17,15,69.8,65.5,4.38,-0.96,-6.72,6.96,0.25,103.27,103.86,-0.59
150,Middle Tennessee,CUSA,,17,15,75.4,72.8,2.66,1.36,-0.47,0.69,0.23,108.59,108.87,-0.28
151,Kennesaw State,CUSA,,21,13,83.4,76.1,7.29,-2.00,5.17,-5.04,0.13,108.07,108.92,-0.85
152,Wright State,Horizon,,23,11,80.7,73.4,7.29,-4.44,0.42,-0.30,0.12,109.12,109.41,-0.28
153,Portland State,Big Sky,,20,11,76.6,70.3,6.35,-2.66,-3.34,3.40,0.06,101.65,102.03,-0.38
154,Valparaiso,MVC,,18,15,72.0,71.5,0.55,0.66,-2.87,2.84,-0.03,105.86,106.10,-0.24
155,Idaho,Big Sky,,21,14,78.7,72.6,6.09,-2.70,-0.89,0.85,-0.05,106.33,107.04,-0.70
156,William & Mary,CAA,,20,12,83.1,77.7,5.41,-2.69,5.55,-5.61,-0.06,108.77,109.64,-0.87
157,Kent State,MAC,,24,9,85.1,79.6,5.45,-2.45,5.60,-5.69,-0.10,108.01,109.25,-1.24
158,Charlotte,American,,17,17,73.3,74.4,-1.12,1.08,-1.20,1.00,-0.20,112.40,113.33,-0.93
159,Pennsylvania,Ivy,,18,11,76.1,73.3,2.79,-1.72,0.01,-0.51,-0.50,105.14,106.74,-1.59
160,East Tennessee State,Southern,,23,11,77.6,69.3,8.29,-7.33,-1.97,1.33,-0.64,107.75,109.28,-1.53
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
161,Winthrop,Big South,,23,11,83.6,75.5,8.18,-4.42,3.52,-4.16,-0.64,108.53,110.33,-1.80
162,Arkansas State,Sun Belt,,20,12,83.0,77.2,5.75,-4.39,5.37,-6.02,-0.65,108.07,109.94,-1.87
163,Troy,Sun Belt,,22,11,80.3,73.1,7.18,-4.57,0.37,-1.13,-0.76,107.99,109.43,-1.43
164,Towson,CAA,,19,15,69.2,66.1,3.12,-1.44,-7.96,7.14,-0.82,102.52,104.32,-1.80
